StationName,DateTime,NO2,O3,SO2,CO,PM10,PM2.5
Tseung Kwan O,"Fri, 25 Feb 2022 02:00:00 +0800",39.4,21.6,3.4,697.9,19.5,15.5
Tseung Kwan O,"Fri, 25 Feb 2022 03:00:00 +0800",36.2,29.3,3.5,678.2,18.5,14.6
Tseung Kwan O,"Fri, 25 Feb 2022 04:00:00 +0800",13.7,48.4,-,551.0,20.4,13.6
Tseung Kwan O,"Fri, 25 Feb 2022 05:00:00 +0800",18.5,40.1,4.1,584.8,16.2,11.0
Tseung Kwan O,"Fri, 25 Feb 2022 06:00:00 +0800",28.4,33.2,4.7,598.2,13.9,11.2
Tseung Kwan O,"Fri, 25 Feb 2022 07:00:00 +0800",30.3,28.6,4.9,610.0,15.1,13.7
Tseung Kwan O,"Fri, 25 Feb 2022 08:00:00 +0800",24.7,33.8,5.0,599.6,16.4,15.3
Tseung Kwan O,"Fri, 25 Feb 2022 09:00:00 +0800",23.2,36.9,5.1,612.6,17.0,13.4
Tseung Kwan O,"Fri, 25 Feb 2022 10:00:00 +0800",15.0,52.1,5.4,596.8,15.0,11.7
Tseung Kwan O,"Fri, 25 Feb 2022 11:00:00 +0800",9.9,69.6,5.5,564.7,14.5,10.7
Tseung Kwan O,"Fri, 25 Feb 2022 12:00:00 +0800",6.6,85.9,3.9,528.5,11.9,6.1
Tseung Kwan O,"Fri, 25 Feb 2022 13:00:00 +0800",4.9,92.8,4.3,527.7,9.8,7.0
Tseung Kwan O,"Fri, 25 Feb 2022 14:00:00 +0800",6.2,100.8,3.9,518.6,7.7,4.8
Tseung Kwan O,"Fri, 25 Feb 2022 15:00:00 +0800",5.7,106.6,5.1,517.0,9.2,6.7
Tseung Kwan O,"Fri, 25 Feb 2022 16:00:00 +0800",13.4,98.2,5.0,488.3,12.4,8.6
Tseung Kwan O,"Fri, 25 Feb 2022 17:00:00 +0800",32.4,87.0,5.4,517.6,16.6,10.9
Tseung Kwan O,"Fri, 25 Feb 2022 18:00:00 +0800",43.0,75.9,5.1,551.4,19.4,9.8
Tseung Kwan O,"Fri, 25 Feb 2022 19:00:00 +0800",48.8,65.3,5.7,606.0,20.8,10.1
Tseung Kwan O,"Fri, 25 Feb 2022 20:00:00 +0800",45.7,56.7,5.3,646.0,24.2,14.9
