Date,amundi
2014-09-19,1038.66
2014-09-02,1018.18
2014-09-22,1043.87
2014-09-23,1023.7
2014-09-24,1034.54
2014-09-25,1061.35
2014-09-26,1057.48
2014-09-29,1059.65
2014-09-03,1032.15
2014-09-30,1064.8
2014-09-04,1043.86
2014-09-05,1052.35
2014-09-08,1065.62
2014-09-09,1065.07
2015-01-12,1703.97
2015-01-13,1694.36
2015-01-14,1687.42
2015-01-15,1679.71
2015-01-16,1738.82
2015-01-19,1753.38
2015-01-02,1698.76
2015-01-20,1623.5
2015-01-21,1645.41
2015-01-22,1717.87
2015-01-23,1732.32
2015-01-26,1725.34
2015-01-27,1736.63
2015-01-28,1710.56
2015-01-29,1681.49
2015-01-30,1651.98
2015-01-05,1698.6
2015-01-06,1751.56
2015-01-07,1747.59
2015-01-08,1760.78
2015-01-09,1711.08
2015-10-01,1553.53
2015-10-12,1625.21
2015-10-13,1681.99
2015-10-14,1680.91
2015-10-15,1656.52
2015-10-16,1694.72
2015-10-19,1713.37
2015-10-02,1553.46
2015-10-20,1709.84
2015-10-21,1726.36
2015-10-22,1666.25
2015-10-23,1692.82
2015-10-26,1736.41
2015-10-27,1741.83
2015-10-28,1737.47
2015-10-29,1702.34
2015-10-30,1707.39
2015-10-05,1553.28
2015-10-06,1551.87
2015-10-07,1551.81
2015-10-08,1551.74
2015-10-09,1601.24
2015-11-10,1827.89
2015-11-11,1821.29
2015-11-12,1835.25
2015-11-13,1820.91
2015-11-16,1802.63
2015-11-17,1811.58
2015-11-18,1797.43
2015-11-19,1771.76
2015-11-02,1718.29
2015-11-20,1806.84
2015-11-23,1816.58
2015-11-24,1809.15
2015-11-25,1810.48
2015-11-26,1826
2015-11-27,1814.1
2015-11-03,1685.73
2015-11-30,1706.38
2015-11-04,1682.58
2015-11-05,1760.86
2015-11-06,1777.93
2015-11-09,1818.37
2015-12-01,1712.74
2015-12-10,1747.21
2015-12-11,1736.2
2015-12-14,1721.35
2015-12-15,1768.1
2015-12-16,1768.39
2015-12-17,1764.12
2015-12-18,1800.55
2015-12-02,1723.52
2015-12-21,1801.56
2015-12-22,1853.28
2015-12-23,1864.07
2015-12-24,1855.99
2015-12-28,1850.6
2015-12-29,1797.23
2015-12-03,1777.69
2015-12-30,1814.72
2015-12-31,1815.75
2015-12-04,1791.21
2015-12-07,1759.44
2015-12-08,1765.5
2015-12-09,1739.63
2015-02-10,1560.84
2015-02-11,1591.68
2015-02-12,1597.1
2015-02-13,1597.17
2015-02-16,1612.07
2015-02-17,1628.39
2015-02-18,1639.68
2015-02-19,1639.6
2015-02-02,1630.96
2015-02-20,1639.54
2015-02-23,1639.32
2015-02-24,1639.24
2015-02-25,1639.17
2015-02-26,1613.99
2015-02-27,1644.18
2015-02-03,1600.82
2015-02-04,1631.01
2015-02-05,1612.76
2015-02-06,1596.17
2015-02-09,1562.12
2015-03-10,1640.08
2015-03-11,1627.38
2015-03-12,1630.2
2015-03-13,1659.44
2015-03-16,1679.64
2015-03-17,1722.54
2015-03-18,1741.94
2015-03-19,1785.76
2015-03-02,1646.98
2015-03-20,1789.12
2015-03-23,1792.76
2015-03-24,1825.28
2015-03-25,1830.51
2015-03-26,1808.11
2015-03-27,1812.13
2015-03-03,1664.77
2015-03-30,1824.96
2015-03-31,1855.91
2015-03-04,1623.32
2015-03-05,1634.8
2015-03-06,1613.05
2015-03-09,1608.02
2015-04-01,1843.48
2015-04-10,1933.74
2015-04-13,1978.39
2015-04-14,2008.66
2015-04-15,2004.02
2015-04-16,1981.38
2015-04-17,2043.75
2015-04-02,1874.27
2015-04-20,2053.39
2015-04-21,2009.61
2015-04-22,2055.19
2015-04-23,2098.34
2015-04-24,2097.74
2015-04-27,2080.92
2015-04-28,2124.93
2015-04-29,2106.03
2015-04-30,2140.73
2015-04-07,1902.79
2015-04-08,1952.77
2015-04-09,1956.25
2015-05-11,2039.12
2015-05-12,2082.38
2015-05-13,2103.79
2015-05-15,2112.72
2015-05-18,2079.33
2015-05-19,2077.57
2015-05-20,2129.7
2015-05-21,2141.69
2015-05-22,2196.26
2015-05-26,2251.61
2015-05-27,2387.67
2015-05-28,2387.66
2015-05-29,2244.22
2015-05-04,2124.07
2015-05-05,2120.67
2015-05-06,2037.82
2015-05-07,2019.57
2015-05-08,2004.85
2015-06-01,2257.26
2015-06-10,2502.66
2015-06-11,2522.45
2015-06-12,2521.34
2015-06-15,2544.08
2015-06-16,2478.23
2015-06-17,2409.98
2015-06-18,2442.15
2015-06-19,2351.16
2015-06-02,2366.1
2015-06-22,2208.09
2015-06-24,2258.14
2015-06-25,2294.77
2015-06-26,2196.8
2015-06-29,2025.67
2015-06-03,2414.7
2015-06-30,1940.73
2015-06-04,2413.18
2015-06-05,2466.81
2015-06-08,2476.31
2015-06-09,2494.61
2015-07-01,2072.88
2015-07-10,1809.45
2015-07-13,1907.39
2015-07-14,1968.1
2015-07-15,1955.66
2015-07-16,1887.94
2015-07-17,1901.79
2015-07-02,1974.87
2015-07-20,1978.93
2015-07-21,1989.78
2015-07-22,1994.7
2015-07-23,1994.55
2015-07-24,2040.75
2015-07-27,2010.34
2015-07-28,1830.28
2015-07-29,1823.99
2015-07-03,1896.81
2015-07-30,1886.5
2015-07-31,1831.19
2015-07-06,1831.5
2015-07-07,1875.37
2015-07-08,1838.96
2015-07-09,1746.74
2015-08-10,1896.67
2015-08-11,1977.46
2015-08-12,1938.52
2015-08-13,1894.74
2015-08-14,1915.04
2015-08-17,1913.95
2015-08-18,1926.09
